"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","Ceiling","Floor","Tier","rank"
"Devonta Freeman","$7000",20.81,23.75,19.3,21.44,18.32,20.8,20.7,1.9,22.6,18.8,7,1
"Le'Veon Bell","$8500",17.87,20.98,22.54,20.47,19.87,20.4,20.4,1.5,21.9,18.9,7,2
"Matt Forte","$7100",17.65,21.76,18.17,19.3,18.48,18.7,19,1.5,20.5,17.5,7,3
"Arian Foster","$7000",18.14,19.73,13.65,19.32,18.64,18.6,18,2.2,20.2,15.8,6,4
"Adrian Peterson","$7600",17.39,18.69,14.99,18.65,18.06,18,17.6,1.4,19,16.2,6,5
"DeMarco Murray","$6000",15.77,16.4,18.4,16.23,15.7,16.2,16.4,1,17.4,15.4,6,6
"Eddie Lacy","$6300",15.75,16.54,15.67,15.82,16.05,15.9,16,0.3,16.3,15.7,6,7
"Dion Lewis","$5800",16.35,15.05,15.1,16.24,14.69,15.5,15.5,0.7,16.2,14.8,6,8
"Mark Ingram","$6000",14.42,16.71,18.23,14.18,13.55,15.4,15.4,1.8,17.2,13.6,6,9
"Giovani Bernard","$4600",14,14.14,14.81,13.85,12.74,14,13.9,0.7,14.6,13.2,6,10
"Justin Forsett","$6400",12.39,13.94,11.04,14.59,15.08,13.5,13.4,1.5,14.9,11.9,5,11
"Carlos Hyde","$4600",13.02,14.31,7.66,13.68,14.44,13.7,12.8,2.6,15.4,10.2,5,12
"Danny Woodhead","$4700",10.18,12.88,11.02,13.07,14.36,12.3,12.3,1.5,13.8,10.8,5,13
"Frank Gore","$4900",11.35,13.82,10.83,12.55,12.67,12.3,12.3,1.1,13.4,11.2,5,14
"Marshawn Lynch","$6900",16.15,15.67,7.63,14.56,7.92,11.9,12.3,3.8,16.1,8.5,4,15
"Charcandrick West","$4000",10.9,12.2,13.2,11.59,12.18,12.1,12,0.8,12.8,11.2,5,16
"Chris Johnson","$4600",13.16,9.8,10.54,11.89,12.78,11.7,11.6,1.3,12.9,10.3,5,17
"Lamar Miller","$4300",10.3,13.55,9.89,10.76,13.05,11.7,11.5,1.5,13,10,5,18
"Ameer Abdullah","$4000",11.81,10.2,11.39,10.93,12.86,11.4,11.4,0.9,12.3,10.5,5,19
"Melvin Gordon","$4600",11.29,10.88,11.5,10.68,11.93,11.3,11.3,0.4,11.7,10.9,5,20
"LeGarrette Blount","$4400",12.52,11.3,8.62,10.76,11.88,11.3,11.1,1.3,12.4,9.8,5,21
"C.J. Anderson","$4500",10.08,11.34,14.15,10.49,9.23,10.7,11,1.7,12.7,9.3,5,22
"Jeremy Hill","$5700",10.23,8.44,10.38,9.65,12.37,10.2,10.2,1.3,11.5,8.9,4,23
"Rashad Jennings","$4300",11,9.19,6.47,10.7,12.47,10.1,10,2,12,8,4,24
"Shane Vereen","$4200",9.96,9.6,8.9,10.84,7.72,9.4,9.4,1,10.4,8.4,4,25
"Darren Sproles","$3800",9.98,8.44,8.09,8.56,10.92,9.2,9.2,1.1,10.3,8.1,4,26
"Isaiah Crowell","$4200",10.05,7.04,8.09,8.47,11.73,9.1,9.1,1.6,10.7,7.5,4,27
"Andre Ellington","$5000",11,8.49,9.18,8.33,8.19,8.8,9,1,10,8,4,28
"Ronnie Hillman","$4600",8.48,10.92,7.84,8.44,8.98,8.7,8.9,1.1,10,7.8,4,29
"C.J. Spiller","$3800",10.22,10.52,8.67,8.7,6.19,8.7,8.8,1.5,10.3,7.3,4,30
"Jonathan Stewart","$3900",8.7,9.48,8.04,8.65,9.32,8.8,8.8,0.5,9.3,8.3,4,31
"Alfred Morris","$3600",7.49,8.09,8.52,8.77,10.19,8.5,8.6,0.9,9.5,7.7,4,32
"Ryan Mathews","$3500",12.11,4.65,7.88,7.35,8.47,7.9,8.1,2.4,10.5,5.7,2,33
"Bishop Sankey","$3800",9.11,7.07,4.14,8.52,10.66,8.1,7.9,2.2,10.1,5.7,2,34
"James Starks","$3300",8.07,7.07,6.01,7.72,7.79,7.4,7.3,0.7,8,6.6,2,35
"David Johnson","$4200",8.2,5.55,7.71,7.7,6.82,7.3,7.2,0.9,8.1,6.3,2,36
"Denard Robinson","$3000",9.88,8.84,4.15,7.23,5.76,7.2,7.2,2.1,9.3,5.1,2,37
"Toby Gerhart","$3000",6.85,9.82,2.9,7.52,7.95,7.4,7.1,2.3,9.4,4.8,2,38
"Knile Davis","$4500",7.63,5.99,9.82,5.94,5.71,6.8,7,1.6,8.6,5.4,2,39
"Antonio Andrews","$3400",7.53,8.06,3.79,8.09,6.16,7.1,6.8,1.6,8.4,5.2,2,40
