"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"Devonta Freeman",7900,21,21.18,19.11,26.5,22.16,22.665,21.8,22.1,2.5,1,1,7,1.5,1.1,24.6,19.6,3
"Le'Veon Bell",8400,28.61,20.45,22.62,22,16.04,20.677,21.5,21.7,4.1,2,1,5,2.8,1.1,25.8,17.6,3
"Todd Gurley",5000,16.88,23.26,11.34,22,18.04,12.446,17.3,17.3,4.8,3,1,15,3.4,2.4,22.1,12.5,3
"Adrian Peterson",7600,11.65,18.46,10.52,24.5,19.01,19.296,18.1,17.2,5.3,4,1,10,4.6,1.6,22.5,11.9,3
"Mark Ingram",6300,11.84,16.64,18.19,18.5,17.61,11.405,15.2,15.7,3.2,5,3,20,8.9,3,18.9,12.5,3
"Marshawn Lynch",6900,11.61,12.17,17.48,18.5,18.14,14.421,15.2,15.4,3.1,6,4,17,9.1,3.3,18.5,12.3,3
"Arian Foster",7500,14.61,14.61,11.39,22.5,14.78,14.06,14.6,15.3,3.7,7,1,12,4.1,1.8,19,11.6,3
"DeMarco Murray",6400,11.33,12.58,19.98,18.5,12.08,13.239,14.9,14.6,3.7,8,5,24,13.2,3.8,18.3,10.9,3
"Lamar Miller",4600,10.17,17.74,10.76,15.5,16.44,11.115,13.6,13.6,3.3,9,5,31,12.6,4.1,16.9,10.3,2
"Latavius Murray",6100,11.64,12.61,11.69,19,11.91,12.355,12.1,13.2,2.9,10,5,20,10.8,2.9,16.1,10.3,2
"Dion Lewis",6500,11.4,12.26,8.92,21,12.11,10.927,11.8,12.8,4.2,11,1,18,10,3.9,17,8.6,2
"Justin Forsett",6100,12.49,14.01,10.69,14,13,11.696,12.7,12.6,1.3,12,3,19,13.2,3.7,13.9,11.3,2
"Frank Gore",4900,9.53,10.61,9.64,15,15.62,9.362,12.2,11.6,2.9,13,5,21,14.6,3.4,14.5,8.7,2
"Doug Martin",4900,10.7,10.66,8.67,12.5,10.83,10.514,10.7,10.6,1.2,14,8,21,14.2,2.4,11.8,9.4,2
"Charcandrick West",4200,6.25,7.51,18.06,10,8.54,10.178,9.3,10.1,4.2,15,11,45,25.4,5.4,14.3,5.9,2
"Chris Johnson",4300,8.45,7.96,9.13,15,8.64,10.931,9.4,10,2.6,16,13,38,22.6,4.6,12.6,7.4,2
"Danny Woodhead",4600,10.21,9.86,9.63,11.5,10.04,8.626,9.9,10,0.9,17,5,40,13.9,4.9,10.9,9.1,2
"Jonathan Stewart",4000,7.98,8.83,7.95,14.5,8.53,8.933,8.7,9.5,2.5,18,14,38,23.5,4.3,12,7,2
"Rashad Jennings",4000,10.38,9.69,6.71,10.5,9.72,10.195,10,9.5,1.4,19,15,40,26.3,5.3,10.9,8.1,2
"Shane Vereen",4300,9.66,8.66,9.31,9,8.73,7.14,8.9,8.8,0.9,20,17,37,23.8,4.4,9.7,7.9,1
"Theo Riddick",3400,8.64,8.45,7.08,9.5,8.71,8.458,8.5,8.5,0.8,21,8,42,21.6,5.6,9.3,7.7,1
"Ameer Abdullah",4000,8.19,8.15,7.69,9,8.35,8.476,8.3,8.3,0.4,22,22,47,31,4.5,8.7,7.9,1
"Carlos Hyde",4600,7.95,9.36,5.35,8.5,8.72,9.446,8.6,8.2,1.5,23,11,33,21.2,4.2,9.7,6.7,1
"Charles Sims",3600,9.74,7.68,6.64,9.5,8,6.178,8,8,1.5,24,16,47,33.5,6.4,9.5,6.5,1
"Darren McFadden",3100,6.1,7.78,15.3,4,6.68,8.114,7.2,8,3.9,25,19,50,36.9,6.2,11.9,4.1,1
"Alfred Morris",3300,6.69,6.65,7.9,12.5,6.49,7.265,7.3,7.9,2.3,26,17,54,31.1,7,10.2,5.6,1
"Joseph Randle",5500,8.6,7.31,5.52,10,7.56,8.569,8,7.9,1.5,27,19,51,35.6,5.6,9.4,6.4,1
"LeGarrette Blount",4800,13.92,5.95,5.31,5,6.88,8.949,7,7.7,3.4,28,15,49,26.4,5.3,11.1,4.3,1
"Matt Jones",3200,5.6,12.44,5.07,8,6.62,7.287,7,7.5,2.6,29,20,55,44.1,9,10.1,4.9,1
"Melvin Gordon",4200,6.3,7.91,7.55,6,7.06,8.653,7.3,7.2,1,30,17,50,29.7,5.8,8.2,6.2,1
"C.J. Spiller",3300,7.78,8.81,6.3,7,7.13,4.629,7,6.9,1.4,31,20,53,36.5,4.5,8.3,5.5,1
"Antonio Andrews",3300,7.05,6.43,4.19,7,7.2,8.392,7,6.7,1.4,32,17,48,32.4,6.1,8.1,5.3,1
"Darren Sproles",3800,7.39,6.74,5.48,5.5,6.67,6.537,6.4,6.4,0.8,33,22,62,39.6,5.1,7.2,5.6,1
"Dexter McCluster",3200,5.91,6.85,5.35,6.5,6.35,6.069,6.2,6.2,0.5,34,28,55,42.8,5.4,6.7,5.7,1
"Isaiah Crowell",3800,7.07,5.9,6,6,6.27,6.165,6.1,6.2,0.4,35,21,52,41.2,5.7,6.6,5.8,1
"T.J. Yeldon",4500,5.08,9.89,6.35,1,6.36,8.575,6.4,6.2,3.1,36,14,57,29.6,6.8,9.3,3.1,1
"Christine Michael",3000,4.74,5.01,10.2,4.5,5.64,5.904,5.3,6,2.1,37,16,47,27.1,6.4,8.1,3.9,1
"Ryan Mathews",3200,7.54,4.74,6.42,5,5.69,5.789,5.7,5.9,1,38,20,54,36.4,6.4,6.9,4.9,1
"Andre Ellington",4300,7.11,3.8,7.47,4,5.12,5.041,5.5,5.4,1.5,39,14,60,36.2,6.8,6.9,3.9,4
"Bishop Sankey",3400,5.31,5.52,3.92,5.5,5.64,5.72,5.5,5.3,0.7,40,31,74,48.4,5.4,6,4.6,4
