"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","numfire_fpts","mean","risk","Ceiling","Floor","Tier","rank"
"Aaron Rodgers",27.63,16.9,23,20.8,21.39,21.9,3.9,25.8,18,7,1
"Matt Ryan",26.44,17.5,22,19.7,22.45,21.6,3.3,24.9,18.3,7,2
"Tom Brady",24.34,19.6,21,20.1,21.82,21.4,1.9,23.3,19.5,7,3
"Peyton Manning",25.94,16.8,20,18,19.83,20.1,3.5,23.6,16.6,6,4
"Philip Rivers",23.21,17,21,18.1,19.41,19.7,2.4,22.1,17.3,6,5
"Carson Palmer",20.74,16.6,21,17.2,19.26,19,2,21,17,6,6
"Eli Manning",23.81,15.8,20,17.6,16.07,18.7,3.3,22,15.4,5,7
"Alex Smith",25.36,16.8,17,16.8,16.62,18.5,3.8,22.3,14.7,5,8
"Drew Brees",20.68,14.9,22,16.6,17.8,18.4,2.9,21.3,15.5,5,9
"Russell Wilson",20.51,16.1,18,17.4,17.29,17.9,1.6,19.5,16.3,6,10
"Tyrod Taylor",22.12,13.9,18,17.1,16.81,17.6,3,20.6,14.6,5,11
"Joe Flacco",20.81,14.5,20,14.5,15.14,17,3.1,20.1,13.9,4,12
"Sam Bradford",22.94,14,14,16.8,17.11,17,3.7,20.7,13.3,4,13
"Matthew Stafford",18.21,16.1,21,14.9,13.27,16.7,3,19.7,13.7,4,14
"Colin Kaepernick",18.28,15.1,17,15.3,15.26,16.2,1.4,17.6,14.8,5,15
"Andy Dalton",19.36,12.2,19,15.2,14.67,16.1,3,19.1,13.1,4,16
"Jameis Winston",18.51,13,18,14.8,13.65,15.6,2.5,18.1,13.1,4,17
"Blake Bortles",19.22,14.6,15,15.2,13.48,15.5,2.2,17.7,13.3,4,18
"Marcus Mariota",15.15,13.6,19,14.9,14.64,15.5,2.1,17.6,13.4,4,19
"Kirk Cousins",16.77,13.1,15,13.7,16.3,15,1.6,16.6,13.4,4,20
"Jay Cutler",17.21,13.4,13,14.9,14.89,14.7,1.7,16.4,13,4,21
"Josh McCown",17,10,21,12.8,11.41,14.4,4.5,18.9,9.9,1,22
"Matt Hasselbeck",16.83,13.5,13,13.7,12.39,13.9,1.7,15.6,12.2,4,23
"Derek Carr",17.34,11.7,12,13.1,13.48,13.5,2.3,15.8,11.2,1,24
"Nick Foles",15.85,12,14,12.1,11.07,13,1.9,14.9,11.1,1,25
"Brandon Weeden",13.47,12.8,12,12.6,13.72,12.9,0.7,13.6,12.2,4,26
"Ryan Mallett",17.81,11.2,10,12.3,11.47,12.6,3.1,15.7,9.5,1,27
