"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","fft_fpts","numfire_fpts","mean","risk","Ceiling","Floor","Tier","rank"
"Jamaal Charles",19.14,NA,21,NA,NA,17.35,19.2,1.8,21,17.4,7,1
"Le'Veon Bell",16.5,17.3,25,17.8,NA,17.2,18.8,3.5,22.3,15.3,7,2
"Devonta Freeman",15.21,15,17,14.7,NA,11.43,14.7,2,16.7,12.7,6,3
"Matt Forte",13.15,15.1,15,14.6,NA,14.21,14.4,0.8,15.2,13.6,6,4
"Todd Gurley",11.91,10.7,26,11.1,NA,10.77,14.1,6.7,20.8,7.4,4,5
"DeMarco Murray",12.83,12.6,19,10.3,NA,9.53,12.9,3.7,16.6,9.2,5,6
"Arian Foster",12.88,13.1,11,13.5,NA,12.51,12.6,1,13.6,11.6,6,7
"Justin Forsett",9.79,14.3,12,13.4,NA,11.75,12.2,1.7,13.9,10.5,5,8
"Eddie Lacy",12.78,12.4,9,13.4,NA,11.17,11.8,1.7,13.5,10.1,5,9
"Mark Ingram",8.66,10,19,10.9,NA,9.41,11.6,4.2,15.8,7.4,4,10
"Joseph Randle",9.03,9.8,17,10.8,NA,10.47,11.4,3.2,14.6,8.2,5,11
"Dion Lewis",10.65,12.2,10,11.6,NA,9.95,10.9,1,11.9,9.9,5,12
"Latavius Murray",11.74,10.1,12,11.3,NA,9.05,10.8,1.2,12,9.6,5,13
"T.J. Yeldon",10.67,10.3,9,11.4,NA,9.08,10.1,1,11.1,9.1,5,14
"LeGarrette Blount",9.27,6.6,14,9.2,NA,9.68,9.8,2.7,12.5,7.1,4,15
"Ameer Abdullah",9.61,9.7,12,9,NA,8.11,9.7,1.4,11.1,8.3,5,16
"Doug Martin",8.65,9.1,10,10.4,NA,10.09,9.6,0.7,10.3,8.9,5,17
"Carlos Hyde",9.67,10,8,9.3,NA,9.96,9.4,0.8,10.2,8.6,5,18
"Jeremy Hill",8.72,7.7,12,7.5,NA,9.54,9.1,1.8,10.9,7.3,4,19
"Melvin Gordon",10.28,7.9,9,9,NA,8.85,9,0.8,9.8,8.2,5,20
"Frank Gore",8.03,10,7,10.3,NA,9.03,8.9,1.4,10.3,7.5,4,21
"Giovani Bernard",9.34,8.5,10,8.3,NA,8.21,8.9,0.8,9.7,8.1,5,22
"Danny Woodhead",8.14,8.1,9,8.5,NA,9.75,8.7,0.7,9.4,8,4,23
"Alfred Morris",8.56,7.6,10,7.6,NA,8.1,8.4,1,9.4,7.4,4,24
"C.J. Anderson",8.35,7.5,12,7.5,NA,6.85,8.4,2.1,10.5,6.3,4,25
"Chris Johnson",8.3,7.7,7,10,NA,9.15,8.4,1.2,9.6,7.2,4,26
"Thomas Rawls",8.98,8.7,3,10.3,NA,8.9,8,2.9,10.9,5.1,4,27
"Anthony Dixon",8.9,NA,7,7.7,NA,7.11,7.7,0.9,8.6,6.8,4,28
"Isaiah Crowell",9.67,6.4,6,7.6,NA,8.2,7.6,1.5,9.1,6.1,4,29
"Matt Jones",7.28,6.5,7,8.4,NA,8.98,7.6,1,8.6,6.6,4,30
"Rashad Jennings",9.7,7.6,5,7.7,NA,8.03,7.6,1.7,9.3,5.9,4,31
"Darren Sproles",7.47,5.8,7,8.3,NA,8.41,7.4,1.1,8.5,6.3,4,32
"Ronnie Hillman",7.47,7.7,7,8.9,NA,5.92,7.4,1.1,8.5,6.3,4,33
"Duke Johnson",7.52,NA,11,6.2,NA,4.12,7.2,2.9,10.1,4.3,3,34
"Andre Ellington",7.15,6.1,9,5.4,NA,5.19,6.6,1.6,8.2,5,4,35
"Shane Vereen",6.47,5.8,8,5.9,NA,5.73,6.4,1,7.4,5.4,4,36
"Andre Williams",5.31,6,5,5.6,NA,8.14,6,1.2,7.2,4.8,3,37
"C.J. Spiller",7.09,4.9,6,6.1,NA,6.16,6,0.8,6.8,5.2,4,38
"Bishop Sankey",6.57,4.2,4,6.2,NA,8.53,5.9,1.9,7.8,4,3,39
"Darren McFadden",5.53,7.1,5,5.5,NA,6.14,5.9,0.8,6.7,5.1,4,40
"Ryan Mathews",9.01,3.1,5,5.6,NA,6.54,5.8,2.2,8,3.6,3,41
"Charles Sims",7.36,3.8,7,5.4,NA,4.3,5.6,1.6,7.2,4,3,42
"Theo Riddick",5.41,5.2,9,4.7,NA,3.88,5.6,2,7.6,3.6,3,43
"Fred Jackson",6.63,NA,7,4.3,NA,3.87,5.5,1.6,7.1,3.9,3,44
"Tevin Coleman",6.87,5.1,4,5.2,NA,5.96,5.4,1.1,6.5,4.3,3,45
"Alfred Blue",5.88,3.1,5,5,NA,5.91,5,1.1,6.1,3.9,3,46
"Antonio Andrews",5.75,5.8,4,4.4,NA,NA,5,0.9,5.9,4.1,3,47
"James Starks",5.91,2.8,4,4.8,NA,5.34,4.6,1.2,5.8,3.4,3,48
"David Johnson",5.27,3.7,6,4,NA,3.35,4.5,1.1,5.6,3.4,3,49
"Khiry Robinson",4.38,4.1,6,3,NA,NA,4.4,1.2,5.6,3.2,3,50
"Chris Thompson",5.88,2.8,5,3.6,NA,NA,4.3,1.4,5.7,2.9,3,51
"DeAngelo Williams",2.82,NA,6,2.6,NA,5.54,4.2,1.8,6,2.4,3,52
"Javorius Allen",3.21,4.8,NA,4.5,NA,4.07,4.1,0.7,4.8,3.4,3,53
"Reggie Bush",5.17,3.7,5,3.8,NA,2.94,4.1,0.9,5,3.2,3,54
"Cierre Wood",4.3,NA,NA,3.6,NA,NA,4,0.5,4.5,3.5,3,55
"Charcandrick West",5.52,2.9,NA,3.2,NA,NA,3.9,1.4,5.3,2.5,3,56
"Dexter McCluster",3.72,4.2,5,3.6,NA,3.01,3.9,0.7,4.6,3.2,3,57
"Knile Davis",3.38,NA,4,2.8,NA,5.43,3.9,1.1,5,2.8,3,58
"Lorenzo Taliaferro",5.41,NA,4,2,NA,NA,3.8,1.7,5.5,2.1,3,59
"Marcel Reece",4.19,NA,5,2.3,NA,NA,3.8,1.4,5.2,2.4,3,60
"Jeremy Langford",3.05,NA,NA,NA,NA,4.37,3.7,0.9,4.6,2.8,3,61
"Tre Mason",3.97,NA,5,2,NA,3.03,3.5,1.3,4.8,2.2,3,62
"Josh Robinson",4.82,2,4,3.1,NA,3.31,3.4,1.1,4.5,2.3,3,63
"Toby Gerhart",2.95,NA,4,2,NA,3.13,3,0.8,3.8,2.2,3,64
"Christine Michael",2.88,NA,NA,2.4,NA,3.4,2.9,0.5,3.4,2.4,3,65
"Jacquizz Rodgers",3.6,NA,3,2.1,NA,NA,2.9,0.8,3.7,2.1,3,66
"Austin Johnson",2.32,NA,NA,2.3,NA,NA,2.3,0,2.3,2.3,3,67
