"Player","Team","Bye","Rank","Risk"
"Stephen Gostkowski"," NE"," 4",1.3,1.2
"Steven Hauschka ","SEA"," 9",3.4,2
"Justin Tucker ","BAL"," 9",4.2,2.2
"Adam Vinatieri ","IND"," 10",4.4,2.3
"Mason Crosby"," GB"," 7",5.3,1.7
"Dan Bailey ","DAL"," 6",5.7,1.5
"Cody Parkey ","PHI"," 8",5.9,2.4
"Matt Bryant ","ATL"," 10",8.7,2.7
"Brandon McManus ","DEN"," 7",9.1,3.8
"Blair Walsh ","MIN"," 5",12.1,3.6
"Nick Novak"," SD"," 10",12.7,3.5
"Matt Prater ","DET"," 9",13,3.8
"Dan Carpenter ","BUF"," 8",15,3.5
"Caleb Sturgis ","MIA"," 5",15.4,4.6
"Dustin Hopkins"," NO"," 11",16.4,5.4
"Phil Dawson"," SF"," 10",16.5,5.1
"Chandler Catanzaro ","ARI"," 9",16.6,4.5
"Garrett Hartley ","PIT"," 11",16.7,6.4
"Connor Barth"," TB"," 6",17.3,9
"Greg Zuerlein ","STL"," 6",18.1,4.2
"Josh Brown ","NYG"," 11",18.2,3.7
"Randy Bullock ","HOU"," 9",19.1,4.5
"Graham Gano ","CAR"," 5",19.4,3.2
"Josh Scobee ","PIT"," 11",20.4,8.4
"Robbie Gould ","CHI"," 7",20.4,3.7
"Mike Nugent ","CIN"," 7",20.8,3.4
"Nick Folk ","NYJ"," 5",23.1,4.4
"Cairo Santos"," KC"," 9",23.1,4.3
"Sebastian Janikowski ","OAK"," 6",23.8,4.8
"Zach Hocker"," NO"," 11",26.7,4.6
"Patrick Murray"," TB"," 6",27,4
"Kai Forbath ","WAS"," 8",27.7,2.5
"Jason Myers ","JAC"," 8",27.9,4.7
"Ryan Succop ","TEN"," 4",29.3,2.6
"Travis Coons ","CLE"," 11",31,1.3
