"name","passYds","passTds","passComp"
"Aaron Rodgers",246,2,25.6
"Alex Smith",247.4,1.5,26.1
"Andrew Luck",265.3,2,29.3
"Andy Dalton",276.6,2,27.6
"Ben Roethlisberger",275.3,2,26.6
"Brian Hoyer",260,2,26.6
"Cam Newton",231.7,1.7,23
"Carson Palmer",266.3,2,25.6
"Colin Kaepernick",211.4,0.8,22.5
"Derek Carr",243.7,1.8,26.8
"Drew Brees",309,2,32.5
"Eli Manning",277.9,2.2,28.4
"Jameis Winston",238.3,1,24
"Jay Cutler",250.6,1.8,26.5
"Joe Flacco",249.6,1.7,27.4
"Josh McCown",236.9,1.2,24.8
"Matt Cassel",192.3,1,21.5
"Matt Ryan",289.8,2,29
"Matthew Stafford",276.8,2,29.8
"Nick Foles",210.5,1.2,22.5
"Peyton Manning",262.4,1.8,28.9
"Philip Rivers",323.5,2.2,31.7
"Russell Wilson",234.9,1.5,23.4
"Ryan Fitzpatrick",246.6,2,26
"Ryan Tannehill",264.5,1.8,28.9
"Teddy Bridgewater",230.5,1.3,24
"Tom Brady",304.6,2.2,31
"Zach Mettenberger",230.4,1.3,24.1
